2023-09-12-03-39: 
2023-09-12-03-39: epoch: 89 |lr: [0.004921720855973314] |train/supervised_loss: 0.00033682|train/bone_loss: 0.00574541|train/total_loss: 0.00608222|
2023-09-12-03-39: epoch: 90 |lr: [0.00491973898215709] |train/supervised_loss: 0.00033501|train/bone_loss: 0.00575996|train/total_loss: 0.00609497|
2023-09-12-03-39: epoch: 91 |lr: [0.004917732741597304] |train/supervised_loss: 0.00033389|train/bone_loss: 0.00575622|train/total_loss: 0.00609011|
2023-09-12-03-39: epoch: 92 |lr: [0.004915702154496775] |train/supervised_loss: 0.00033281|train/bone_loss: 0.00575866|train/total_loss: 0.00609147|
2023-09-12-03-39: epoch: 93 |lr: [0.0049136472413035] |train/supervised_loss: 0.00032993|train/bone_loss: 0.00574511|train/total_loss: 0.00607505|
2023-09-12-03-39: epoch: 94 |lr: [0.004911568022710426] |train/supervised_loss: 0.00032915|train/bone_loss: 0.00575639|train/total_loss: 0.00608554|
2023-09-12-03-39: epoch: 95 |lr: [0.004909464519655261] |train/supervised_loss: 0.00032806|train/bone_loss: 0.00575957|train/total_loss: 0.00608762|
2023-09-12-03-39: epoch: 96 |lr: [0.004907336753320263] |train/supervised_loss: 0.00032688|train/bone_loss: 0.0057421|train/total_loss: 0.00606897|
2023-09-12-03-39: epoch: 97 |lr: [0.0049051847451320124] |train/supervised_loss: 0.00032737|train/bone_loss: 0.00574843|train/total_loss: 0.0060758|
2023-09-12-03-39: epoch: 98 |lr: [0.004903008516761207] |train/supervised_loss: 0.00032463|train/bone_loss: 0.0057467|train/total_loss: 0.00607133|
2023-09-12-03-39: epoch: 99 |lr: [0.004900808090122445] |train/supervised_loss: 0.00032403|train/bone_loss: 0.00575733|train/total_loss: 0.00608136|
2023-09-12-03-39: epoch: 100 |lr: [0.004898583487373991] |train/supervised_loss: 0.00032177|train/bone_loss: 0.00575181|train/total_loss: 0.00607359|
2023-09-12-03-39: epoch: 101 |lr: [0.004896334730917576] |train/supervised_loss: 0.00032097|train/bone_loss: 0.00574537|train/total_loss: 0.00606634|
2023-09-12-03-39: epoch: 102 |lr: [0.004894061843398155] |train/supervised_loss: 0.00031921|train/bone_loss: 0.00574903|train/total_loss: 0.00606824|
2023-09-12-03-39: epoch: 103 |lr: [0.004891764847703674] |train/supervised_loss: 0.0003183|train/bone_loss: 0.0057552|train/total_loss: 0.0060735|
2023-09-12-03-39: epoch: 104 |lr: [0.004889443766964856] |train/supervised_loss: 0.00031754|train/bone_loss: 0.00575179|train/total_loss: 0.00606933|
2023-09-12-03-39: epoch: 105 |lr: [0.004887098624554961] |train/supervised_loss: 0.00031766|train/bone_loss: 0.00573794|train/total_loss: 0.0060556|
2023-09-12-03-39: epoch: 106 |lr: [0.004884729444089546] |train/supervised_loss: 0.00031535|train/bone_loss: 0.00575351|train/total_loss: 0.00606886|
2023-09-12-03-39: epoch: 107 |lr: [0.00488233624942623] |train/supervised_loss: 0.0003155|train/bone_loss: 0.00575208|train/total_loss: 0.00606758|
2023-09-12-03-39: epoch: 108 |lr: [0.004879919064664459] |train/supervised_loss: 0.00031896|train/bone_loss: 0.00575375|train/total_loss: 0.00607271|
2023-09-12-03-39: epoch: 109 |lr: [0.004877477914145256] |train/supervised_loss: 0.00031379|train/bone_loss: 0.00575517|train/total_loss: 0.00606896|
2023-09-12-03-39: epoch: 110 |lr: [0.004875012822450976] |train/supervised_loss: 0.0003138|train/bone_loss: 0.00574027|train/total_loss: 0.00605407|
2023-09-12-03-39: epoch: 111 |lr: [0.004872523814405072] |train/supervised_loss: 0.0003106|train/bone_loss: 0.0057495|train/total_loss: 0.00606011|
2023-09-12-03-39: epoch: 112 |lr: [0.004870010915071821] |train/supervised_loss: 0.00030881|train/bone_loss: 0.00575666|train/total_loss: 0.00606547|
2023-09-12-03-39: epoch: 113 |lr: [0.0048674741497560965] |train/supervised_loss: 0.00030839|train/bone_loss: 0.00575003|train/total_loss: 0.00605842|
2023-09-12-03-39: epoch: 114 |lr: [0.004864913544003093] |train/supervised_loss: 0.00030701|train/bone_loss: 0.00574814|train/total_loss: 0.00605516|
2023-09-12-03-39: epoch: 115 |lr: [0.004862329123598083] |train/supervised_loss: 0.0003057|train/bone_loss: 0.00575838|train/total_loss: 0.00606408|
2023-09-12-03-39: epoch: 116 |lr: [0.004859720914566154] |train/supervised_loss: 0.00030552|train/bone_loss: 0.00575555|train/total_loss: 0.00606107|
2023-09-12-03-39: epoch: 117 |lr: [0.004857088943171938] |train/supervised_loss: 0.00030464|train/bone_loss: 0.0057388|train/total_loss: 0.00604344|
2023-09-12-03-39: epoch: 118 |lr: [0.004854433235919362] |train/supervised_loss: 0.0003026|train/bone_loss: 0.00575167|train/total_loss: 0.00605426|
2023-09-12-03-39: epoch: 119 |lr: [0.004851753819551363] |train/supervised_loss: 0.00030294|train/bone_loss: 0.00574261|train/total_loss: 0.00604555|
2023-09-12-03-39: epoch: 120 |lr: [0.004849050721049636] |train/supervised_loss: 0.0003014|train/bone_loss: 0.00574703|train/total_loss: 0.00604843|
2023-09-12-03-39: epoch: 121 |lr: [0.0048463239676343585] |train/supervised_loss: 0.00030265|train/bone_loss: 0.00575767|train/total_loss: 0.00606032|
2023-09-12-03-39: epoch: 122 |lr: [0.004843573586763899] |train/supervised_loss: 0.000299|train/bone_loss: 0.00574713|train/total_loss: 0.00604613|
2023-09-12-03-39: epoch: 123 |lr: [0.0048407996061345685] |train/supervised_loss: 0.00029926|train/bone_loss: 0.00576208|train/total_loss: 0.00606134|
2023-09-12-03-39: epoch: 124 |lr: [0.004838002053680319] |train/supervised_loss: 0.00029701|train/bone_loss: 0.0057599|train/total_loss: 0.00605691|
2023-09-12-03-39: epoch: 125 |lr: [0.004835180957572469] |train/supervised_loss: 0.0002966|train/bone_loss: 0.00573883|train/total_loss: 0.00603543|
2023-09-12-03-39: epoch: 126 |lr: [0.0048323363462194294] |train/supervised_loss: 0.0002959|train/bone_loss: 0.00574241|train/total_loss: 0.00603831|
2023-09-12-03-39: epoch: 127 |lr: [0.004829468248266404] |train/supervised_loss: 0.00029514|train/bone_loss: 0.0057565|train/total_loss: 0.00605164|
2023-09-12-03-39: epoch: 128 |lr: [0.004826576692595105] |train/supervised_loss: 0.00029457|train/bone_loss: 0.00575249|train/total_loss: 0.00604705|
2023-09-12-03-39: epoch: 129 |lr: [0.00482366170832347] |train/supervised_loss: 0.00029258|train/bone_loss: 0.00576227|train/total_loss: 0.00605485|
2023-09-12-03-39: epoch: 130 |lr: [0.004820723324805357] |train/supervised_loss: 0.00029076|train/bone_loss: 0.00574441|train/total_loss: 0.00603517|
2023-09-12-03-39: epoch: 131 |lr: [0.004817761571630254] |train/supervised_loss: 0.00029048|train/bone_loss: 0.00574996|train/total_loss: 0.00604044|
2023-09-12-03-39: epoch: 132 |lr: [0.004814776478622983] |train/supervised_loss: 0.00029034|train/bone_loss: 0.00573247|train/total_loss: 0.00602281|
2023-09-12-03-39: epoch: 133 |lr: [0.0048117680758433985] |train/supervised_loss: 0.00028895|train/bone_loss: 0.00573403|train/total_loss: 0.00602298|
2023-09-12-03-39: epoch: 134 |lr: [0.004808736393586082] |train/supervised_loss: 0.00028916|train/bone_loss: 0.00574855|train/total_loss: 0.00603771|
2023-09-12-03-39: epoch: 135 |lr: [0.0048056814623800405] |train/supervised_loss: 0.00028675|train/bone_loss: 0.00573797|train/total_loss: 0.00602472|
2023-09-12-03-39: epoch: 136 |lr: [0.004802603312988396] |train/supervised_loss: 0.00028638|train/bone_loss: 0.00574941|train/total_loss: 0.00603579|
2023-09-12-03-39: epoch: 137 |lr: [0.004799501976408081] |train/supervised_loss: 0.00028594|train/bone_loss: 0.00573979|train/total_loss: 0.00602573|
2023-09-12-03-39: epoch: 138 |lr: [0.0047963774838695175] |train/supervised_loss: 0.00028628|train/bone_loss: 0.00575135|train/total_loss: 0.00603763|
2023-09-12-03-39: epoch: 139 |lr: [0.004793229866836315] |train/supervised_loss: 0.0002868|train/bone_loss: 0.00574512|train/total_loss: 0.00603193|
2023-09-12-03-39: epoch: 140 |lr: [0.004790059157004936] |train/supervised_loss: 0.00028458|train/bone_loss: 0.00574665|train/total_loss: 0.00603123|
2023-09-12-03-39: epoch: 141 |lr: [0.0047868653863044] |train/supervised_loss: 0.00028293|train/bone_loss: 0.00574688|train/total_loss: 0.00602981|
2023-09-12-03-39: epoch: 142 |lr: [0.004783648586895941] |train/supervised_loss: 0.00028335|train/bone_loss: 0.00571751|train/total_loss: 0.00600086|
2023-09-12-03-39: epoch: 143 |lr: [0.004780408791172694] |train/supervised_loss: 0.00028393|train/bone_loss: 0.00573643|train/total_loss: 0.00602036|
2023-09-12-03-39: epoch: 144 |lr: [0.00477714603175936] |train/supervised_loss: 0.00028184|train/bone_loss: 0.0057246|train/total_loss: 0.00600644|
2023-09-12-03-39: epoch: 145 |lr: [0.004773860341511897] |train/supervised_loss: 0.00028141|train/bone_loss: 0.00572347|train/total_loss: 0.00600488|
